year,site_code,site_name,pollutant_number,pollutant_name,average_aqi_fire_season
2001,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),40.18888888888889
2001,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,22.119318181818183
2001,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,8.61413043478261
2001,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,19.708333333333332
2001,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,60.08
2001,47,GUTHRIE CLINIC PM 2.5,88502,Acceptable PM2.5 AQI & Speciation Mass,50.0
2001,1004,Edmund Orgill Park Ozone,44201,Ozone,64.78623188405797
2001,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,54.79545454545455
2002,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,25.033333333333335
2002,21,Frayser Ozone Monitor,44201,Ozone,57.24773960216998
2002,24,Alabama Ave. Station,42101,Carbon monoxide,12.404371584699453
2002,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),34.785234899328856
2002,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,18.8
2002,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,8.28804347826087
2002,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,23.46153846153846
2002,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,61.58857142857143
2002,47,GUTHRIE CLINIC PM 2.5,88502,Acceptable PM2.5 AQI & Speciation Mass,63.142857142857146
2002,1004,Edmund Orgill Park Ozone,44201,Ozone,63.31521739130435
2002,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,56.80327868852459
2003,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,27.9
2003,21,Frayser Ozone Monitor,44201,Ozone,51.909604519774014
2003,24,Alabama Ave. Station,42101,Carbon monoxide,10.651685393258427
2003,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),33.20454545454545
2003,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,65.84883720930233
2003,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,11.23913043478261
2003,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,23.833333333333332
2003,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,60.955555555555556
2003,47,GUTHRIE CLINIC PM 2.5,88502,Acceptable PM2.5 AQI & Speciation Mass,63.220338983050844
2003,1004,Edmund Orgill Park Ozone,44201,Ozone,58.74397031539889
2003,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,54.892857142857146
2004,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,25.566666666666666
2004,21,Frayser Ozone Monitor,44201,Ozone,43.7518115942029
2004,24,Alabama Ave. Station,42101,Carbon monoxide,6.8125
2004,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,59.354838709677416
2004,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,17.662983425414364
